"ID"|"Port Name     "|"Location"|"Specialty    Price Req.:Eco-T"|"Ind-T"|"Sprt"
" 0"|"Lisbon        "|"39N   9W"|"Rock Salt       38 *100:780 a"|"770 A"|"100P"
" 1"|"Seville       "|"37N   6W"|"Porcelain      100 *100:770 a"|"810 A"|"100S"
" 2"|"Istanbul      "|"41N  28E"|"Carpet         210 *100:810 e"|"720 F"|"100T"
" 3"|"Barcelona     "|"41N   2E"|"Rock Salt       45 *100:590 a"|"540 A"|"100S"
" 4"|"Algiers       "|"37N   3E"|"-------------- ---  ---:160 d"|"180 F"|" 20T"
" 5"|"Tunis         "|"37N  10E"|"Iron Ore        90  600:130 d"|"160 F"|" 15T"
" 6"|"Valencia      "|"39N   0W"|"Wool Cloth      56 *200:320 a"|"300 A"|"100S"
" 7"|"Marseille     "|"44N   5E"|"Perfume        105 *200:350 c"|"290 D"|"  0 "
" 8"|"Genoa         "|"44N   8E"|"Silver         190 *300:750 c"|"760 E"|"100I"
" 9"|"Pisa          "|"43N  10E"|"Silk Cloth     170 *400:620 c"|"540 E"|"100I"
"10"|"Naples        "|"40N  13E"|"Wool Cloth      68 *200:630 c"|"640 E"|"100I"
"11"|"Syracuse      "|"37N  15E"|"-------------- ---  ---:240 c"|"220 E"|"100I"
"12"|"Palma         "|"39N   2E"|"-------------- ---  ---:290 c"|"285 A"|" 98S"
"13"|"Venice        "|"45N  13E"|"Glassware      180 *300:740 c"|"730 E"|"100I"
"14"|"Ragusa        "|"42N  18E"|"Dye             92  200:150 c"|"140 E"|"100I"
"15"|"Candia        "|"35N  25E"|"-------------- ---  ---:180 c"|"160 E"|"  0 "
"16"|"Athens        "|"38N  24E"|"Art            310 *300:640 c"|"540 E"|"  0 "
"17"|"Salonika      "|"41N  22E"|"-------------- ---  ---:110 e"|"120 E"|"  0 "
"18"|"Alexandria    "|"31N  29E"|"Cotton Cloth    25 *200:720 e"|"700 F"|"100T"
"19"|"Jaffa         "|"32N  35E"|"-------------- ---  ---:140 e"|"150 F"|" 95T"
"20"|"Beirut        "|"33N  35E"|"Carpet         210  300:270 e"|"250 F"|"100T"
"21"|"Nicosia       "|"35N  33E"|"Copper Ore      88  400:150 c"|"160 F"|" 98T"
"22"|"Tripoli       "|"32N  13E"|"-------------- ---  ---:420 d"|"400 F"|" 90T"
"23"|"Kaffa         "|"45N  34E"|"Iron Ore        85  400:340 e"|"350 F"|" 35T"
"24"|"Azov          "|"47N  38E"|"-------------- ---  ---:110 e"|"115 F"|" 20T"
"25"|"Trebizond     "|"41N  39E"|"Cotton Cloth    58 *100:360 e"|"370 F"|"100T"
"26"|"Ceuta         "|"35N   5W"|"-------------- ---  ---: 85 d"|" 90 A"|"100P"
"27"|"Bordeaux      "|"45N   1W"|"Raisins         32 *200:600 b"|"580 D"|" 80E"
"28"|"Nantes        "|"48N   2W"|"-------------- ---  ---:560 b"|"570 D"|" 80E"
"29"|"London        "|"53N   0E"|"Wool            45 *100:720 b"|"740 B"|"100E"
"30"|"Bristol       "|"52N   3W"|"Tin Ore         75  350:320 b"|"380 B"|"100E"
"31"|"Dublin        "|"54N   7W"|"-------------- ---  ---:370 b"|"350 B"|" 93E"
"32"|"Antwerp       "|"53N   5E"|"Wool Cloth      52 *300:660 b"|"670 C"|"100H"
"33"|" Amsterdam     "|"55N   6E"|"Glass Beads      3 *100:700 b"|"730 C"|"100H"
